Reading,Đang đọc,
Editing,Đang chỉnh sửa,
Suggesting,Đề xuất,
New Annotation,Chú thích mới,
Post,Bài đăng,
New Comment,Bình luận mới,
New Version,Phiên bản mới,
Created on,Được tạo vào,
by,bởi,
Highlight changes,Đánh dấu những thay đổi,
No result,Không có kết quả,
Last Modified,Lần sửa đổi cuối cùng,
Select language,Lựa chọn ngôn ngữ,
Vietnamese,Tiếng việt,
English,Tiếng anh,
Manager,Quản lý,
{0} - Invitation,{0} - Lời mời,
Link detected,Đã phát hiện liên kết,
You changed the document version,Bạn đã thay đổi phiên bản tài liệu,
Document version changed,Phiên bản tài liệu đã thay đổi,
"Not a valid DOCX file!","Không phải tệp DOCX hợp lệ!",
Document saved,Tài liệu đã lưu,
"Invite sent!","Đã gửi lời mời!",
Split Cells,Tách ô,
Merge Cells,Gộp ô,
Insert Row Left,Chèn hàng bên trái,
Insert Row Right,Chèn hàng bên phải,
Delete Column,Xóa cột,
Add Row Above,Thêm hàng bên trên,
Add Row Below,Thêm hàng bên dưới,
Delete Row,Xóa hàng,
"Are you sure you want to delete the tag blog? This action cannot be undone. All files with this tag will also lose it.","Bạn có chắc chắn muốn xóa thẻ 'blog' không? Hành động này không thể hoàn tác. Tất cả các tệp có thẻ này cũng sẽ mất thẻ này.",
No invites found,Không tìm thấy lời mời nào,
Search users,Tìm kiếm người dùng,
Organization,Tổ chức,
Full Access,Toàn quyền truy cập,
New name is required,Tên mới là bắt buộc,
Open a file,Mở một tập tin,
Request failed with status,Yêu cầu không thành công với trạng thái,
Go Back,Quay lại,
Go Home,Về trang chủ,
Token Invalid or Expired,Mã thông báo không hợp lệ hoặc đã hết hạn,
"- used out of 5GB","- đã dùng hết 5GB",
Welcome,Chào mừng,
"You haven't joined any teams yet","Bạn chưa tham gia bất kỳ đội nào",
Requested,Đã yêu cầu,
Welcome to Drive,Chào mừng đến với Drive,
Log in to Drive,Đăng nhập vào Drive,
Create a new account,Tạo tài khoản mới,
Join,Tham gia,
"We're glad you're here.","Chúng tôi rất vui khi bạn ở đây.",
"Powered by Frappe Drive.","Được cung cấp bởi Frappe Drive.",
"5 GB free - forever.","5 GB miễn phí - mãi mãi.",
"Welcome back!","Chào mừng trở lại!",
We noticed that you are on a,Chúng tôi nhận thấy rằng bạn đang ở trên,
"Do you want to create a personal account, or request to join the team","Bạn có muốn tạo tài khoản cá nhân hay yêu cầu tham gia nhóm",
associated with your domain,liên kết với tên miền của bạn,
"Do you want to create a personal account, or create a team with your domain","Bạn có muốn tạo tài khoản cá nhân hay tạo nhóm với tên miền của bạn không",
Create Personal,Tạo tài khoản cá nhân,
I accept the,Tôi chấp nhận,
Terms and Policies,Điều khoản và Chính sách,
Verification code,Mã xác minh,
Verify,Xác minh,
Resend verification code,Gửi lại mã xác minh,
"If this doesn't work, use","Nếu cách này không hiệu quả, hãy sử dụng",
the old way,cách cũ,
or,hoặc,
Continue with,Tiếp tục với,
"New member? Create a new account.","Thành viên mới? Tạo tài khoản mới.",
"Already have an account? Log in.","Đã có tài khoản? Đăng nhập.",
Copied link,Đã sao chép liên kết,
Team is empty,Nhóm đang trống,
Add files by dropping them here.,Thêm tệp bằng cách thả chúng vào đây.,
Invites,Lời mời,
You requested an invite from this team.,Bạn đã yêu cầu lời mời từ nhóm này.,
at,tại,
